Приложение;Процесс;День санразрыва;Код в графике;Вхождение;Участок;Цех;Средство;Птичников в цехе;Ед.изм;Норма средства на птичник;Раствор, л;Концентрация;Как задано
13;Дезинфекция линий поения (санация 4);8;ПДГ;;Г;Г 2;Хлор ДП -2 Т;4;кг;0.33;;0.02;средство
13;Дезинфекция линий поения (санация 4);8;ПДГ;;Г;Г 3;Хлор ДП -2 Т;4;кг;0.33;;0.02;средство
13;Дезинфекция линий поения (санация 4);8;ПДГ;;Г;Г 4;Хлор ДП -2 Т;4;кг;0.33;;0.02;средство
13;Дезинфекция линий поения (санация 4);8;ПДГ;;Г;Г 5;Хлор ДП -2 Т;4;кг;0.33;;0.02;средство
13;Дезинфекция линий поения (санация 4);8;ПДГ;;Д;Д 1;Хлор ДП -2 Т;4;кг;0.33;;0.02;средство
13;Дезинфекция линий поения (санация 4);8;ПДГ;;Д;Д 2;Хлор ДП -2 Т;4;кг;0.33;;0.02;средство
13;Дезинфекция линий поения (санация 4);8;ПДГ;;Д;Д 3;Хлор ДП -2 Т;4;кг;0.33;;0.02;средство
13;Дезинфекция линий поения (санация 4);8;ПДГ;;Д;Д 4;Хлор ДП -2 Т;4;кг;0.33;;0.02;средство
13;Дезинфекция линий поения (санация 4);8;ПДГ;;Б;Б;Хлор ДП -2 Т;10;кг;0.33;;0.02;средство
13;Дезинфекция линий поения (санация 4);8;ПДГ;;Е;Е;Хлор ДП -2 Т;10;кг;0.33;;0.02;средство
13;Дезинфекция линий поения (санация 4);8;ПДГ;;А;А;Хлор ДП -2 Т;10;кг;0.33;;0.02;средство
13;Дезинфекция линий поения (санация 4);8;ПДГ;;Ж;Ж;Хлор ДП -2 Т;5;кг;0.33;;0.02;средство
13;Дезинфекция линий поения (санация 4);8;ПДГ;;В;В;Хлор ДП -2 Т;15;кг;0.33;;0.02;средство
13;Дезинфекция линий поения (санация 4);8;ПДГ;;БП 12;БП 12;Хлор ДП -2 Т;12;кг;0.33;;0.02;средство
13;Дезинфекция линий поения (санация 4);8;ПДГ;;БП 13;БП 13;Хлор ДП -2 Т;12;кг;0.33;;0.02;средство
13;Дезинфекция линий поения (санация 4);8;ПДГ;;БП 14;БП 14;Хлор ДП -2 Т;12;кг;0.33;;0.02;средство
15;Обработка септиков;—;СО;;Б;Б;Гипохлорид кальция;10;кг;5.0;;;средство
15;Обработка септиков;—;СО;;В;В;Гипохлорид кальция;15;кг;5.0;;;средство
15;Обработка септиков;—;СО;;БП 12;БП 12;Гипохлорид кальция;12;кг;5.0;;;средство
15;Обработка септиков;—;СО;;БП 13;БП 13;Гипохлорид кальция;12;кг;5.0;;;средство
15;Обработка септиков;—;СО;;БП 14;БП 14;Гипохлорид кальция;12;кг;5.0;;;средство
16;Аэрозольная газация глутаркой;7;ГГ;;В;В;Глутаровый альдегид;15;л;14.0;;0.1;средство
16;Аэрозольная газация глутаркой;7;ГГ;;Г;Г 1;Глутаровый альдегид;4;л;9.0;;0.1;средство
16;Аэрозольная газация глутаркой;7;ГГ;;Г;Г 2;Глутаровый альдегид;4;л;9.0;;0.1;средство
16;Аэрозольная газация глутаркой;7;ГГ;;Г;Г 3;Глутаровый альдегид;4;л;9.0;;0.1;средство
16;Аэрозольная газация глутаркой;7;ГГ;;Г;Г 4;Глутаровый альдегид;4;л;9.0;;0.1;средство
16;Аэрозольная газация глутаркой;7;ГГ;;Г;Г 5;Глутаровый альдегид;4;л;9.0;;0.1;средство
16;Аэрозольная газация глутаркой;7;ГГ;;Д;Д 1;Глутаровый альдегид;4;л;9.0;;0.1;средство
16;Аэрозольная газация глутаркой;7;ГГ;;Д;Д 2;Глутаровый альдегид;4;л;9.0;;0.1;средство
16;Аэрозольная газация глутаркой;7;ГГ;;Д;Д 3;Глутаровый альдегид;4;л;9.0;;0.1;средство
16;Аэрозольная газация глутаркой;7;ГГ;;Д;Д 4;Глутаровый альдегид;4;л;9.0;;0.1;средство
16;Аэрозольная газация глутаркой;7;ГГ;;Б;Б;Глутаровый альдегид;10;л;7.0;;0.1;средство
16;Аэрозольная газация глутаркой;7;ГГ;;Е;Е;Глутаровый альдегид;10;л;7.0;;0.1;средство
16;Аэрозольная газация глутаркой;7;ГГ;;А;А;Глутаровый альдегид;10;л;7.0;;0.1;средство
16;Аэрозольная газация глутаркой;7;ГГ;;Ж;Ж;Глутаровый альдегид;5;л;7.0;;0.1;средство
16;Аэрозольная газация глутаркой;7;ГГ;;БП 12;БП 12;Глутаровый альдегид;12;л;15.0;;0.1;средство
16;Аэрозольная газация глутаркой;7;ГГ;;БП 13;БП 13;Глутаровый альдегид;12;л;15.0;;0.1;средство
16;Аэрозольная газация глутаркой;7;ГГ;;БП 14;БП 14;Глутаровый альдегид;12;л;15.0;;0.1;средство
17;Влажная дезинсекция;4;ДС;;Г;Г 1;Средство инсектицидное Альфа Инсектум;4;л;2.0;400.0;0.005;средство
17;Влажная дезинсекция;4;ДС;;Г;Г 2;Средство инсектицидное Альфа Инсектум;4;л;2.0;400.0;0.005;средство
17;Влажная дезинсекция;4;ДС;;Г;Г 3;Средство инсектицидное Альфа Инсектум;4;л;2.0;400.0;0.005;средство
17;Влажная дезинсекция;4;ДС;;Г;Г 4;Средство инсектицидное Альфа Инсектум;4;л;2.0;400.0;0.005;средство
17;Влажная дезинсекция;4;ДС;;Г;Г 5;Средство инсектицидное Альфа Инсектум;4;л;2.0;400.0;0.005;средство
17;Влажная дезинсекция;4;ДС;;Д;Д 1;Средство инсектицидное Альфа Инсектум;4;л;2.0;400.0;0.005;средство
17;Влажная дезинсекция;4;ДС;;Д;Д 2;Средство инсектицидное Альфа Инсектум;4;л;2.0;400.0;0.005;средство
17;Влажная дезинсекция;4;ДС;;Д;Д 3;Средство инсектицидное Альфа Инсектум;4;л;2.0;400.0;0.005;средство
17;Влажная дезинсекция;4;ДС;;Д;Д 4;Средство инсектицидное Альфа Инсектум;4;л;2.0;400.0;0.005;средство
